@relation movies
@attribute 'MovieId' numeric
@attribute 'Title' string
@attribute 'IsAction' { 0, 1}
@attribute 'IsAdventure' { 0, 1}
@attribute 'IsAnimation' { 0, 1}
@attribute 'IsBiography' { 0, 1}
@attribute 'IsComedy' { 0, 1}
@attribute 'IsCrime' { 0, 1}
@attribute 'IsDrama' { 0, 1}
@attribute 'IsRomance' { 0, 1}
@attribute 'IsFantasy' { 0, 1}
@attribute 'IsHorror' { 0, 1}
@attribute 'IsMistery' { 0, 1}
@attribute 'IsHistory' { 0, 1}
@attribute 'IsFamily' { 0, 1}
@attribute 'IsSport' { 0, 1}
@attribute 'IsWar' { 0, 1}
@attribute 'IsWestern' { 0, 1}
@attribute 'IsSciFi' { 0, 1}
@attribute 'IsThriller' { 0, 1}
@attribute 'Year' numeric
@attribute 'Rating' real
@attribute 'Votes' numeric
@attribute 'CriticScore' numeric
@data
79,'Pirates of the Caribbean: Dead Man's Chest',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,7.3,552027,53
80,'Ghostbusters',1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,5.3,147717,60
81,'Inception',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,8.8,1583625,74
82,'Captain Fantastic',0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.9,105081,72
83,'The Wolf of Wall Street',0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013,8.2,865134,75
84,'Gone Girl',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2014,8.1,636243,79
85,'Furious Seven',1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,7.2,301249,67
86,'Jurassic World',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,7,455169,59
87,'Live by Night',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,6.4,27869,49
88,'Avatar',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2009,7.8,935408,83
89,'The Hateful Eight',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,7.8,341170,68
90,'The Accountant',1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.4,162122,51
91,'Prisoners',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2013,8.1,431185,74
92,'Warcraft',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,7,187547,32
93,'The Help',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,8.1,342429,62
94,'War Dogs',0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,7.1,106463,57
95,'Avengers: Age of Ultron',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,7.4,516895,66
96,'The Nice Guys',1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,7.4,175067,70
97,'Kimi no na wa',0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2016,8.6,34110,79
98,'The Void',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2016,5.8,9247,62
99,'Personal Shopper',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,6.3,10181,77
100',The Departed',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2006,8.5,937414,85
101',Legend',0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015,7,108836,55
102',Thor',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2011,7,570814,57
103',The Martian',0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,8,556097,80
104',Contratiempo',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2016,7.9,7204
105',The Man from U.N.C.L.E.',1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,7.3,202973,56
106',Hell or High Water',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2016,7.7,115546,88
107',The Comedian',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5.4,1954,40
108',The Legend of Tarzan',1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,6.3,117590,44
109',All We Had',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,5.8,1004,48
110',Ex Machina',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2014,7.7,339797,78
111',The Belko Experiment',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,6.3,3712,44
112',12 Years a Slave',0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,8.1,486338,96
113',The Bad Batch',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,6.1,512,65
114',300',1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2006,7.7,637104,52
115',Harry Potter and the Deathly Hallows: Part 2',0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2011,8.1,590595,87
116',Office Christmas Party',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5.8,30761,42
117',The Neon Demon',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,6.2,50359,51
118',Dangal',1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,8.8,48969,
